"SB","binary","octal","hexadecimal"
"SB0326",1.111E+039,74000007177200,"0F-00-00-0E-7F-20"
"SB0327",1.10111110101111E+042,676573777077600,"6F-57-5F-7E-3F-60"
"SB0328",1.10111110101111E+042,676573777677600,"6F-57-5F-7F-BF-60"
"SB0329",1.10111110111111E+042,676773677777000,"6F-5F-5E-7F-FF-00"
"SB0330",1.10001110111111E+042,616773777777000,"63-5F-5F-7F-FF-00"
"SB0331",1.10001110111111E+042,616773776377600,"63-5F-5F-7C-FF-60"
"SB0332",1.101111101111E+042,676743677777600,"6F-5E-1E-7F-FF-60"
"SB0333",1.101101101111E+042,666743677777600,"6D-5E-1E-7F-FF-60"
"SB0334",1.001111101111E+042,476743677777600,"4F-5E-1E-7F-FF-60"
"SB0335",1.001101001111E+042,464743677767600,"4D-1E-1E-7F-F7-60"
"SB0337",1.10110010111111E+042,662773677777600,"6C-5F-5E-7F-FF-60"
"SB0338",1.101111101111E+042,676743676177600,"6F-5E-1E-7C-7F-60"
"SB0339",1.10111110111111E+042,676773674177600,"6F-5F-5E-78-7F-60"
"SB0340",1.1011111101111E+036,6773677777600,"01-5F-5E-7F-FF-60"
"SB0341",1.00011110111111E+042,436773677774600,"47-5F-5E-7F-FC-60"
"SB0342",1.100011101111E+042,616743777763600,"63-5E-1F-7F-F3-60"
"SB0343",1.10111100001101E+042,674153777777600,"6F-06-5F-7F-FF-60"
"SB0344",1.10110100000111E+042,664073767777600,"6D-03-5F-6F-FF-60"
"SB0345",1.0011010000011E+042,464063777777600,"4D-03-1F-7F-FF-60"
"SB0346",1.001101000001E+042,464043677777600,"4D-02-1E-7F-FF-60"
"SB0347",1.000101000001E+042,424043636746600,"45-02-1E-3D-E6-60"
"SB0354",1.11111000111111E+042,770777777377671,"7E-1F-7F-7E-FF-6F"
"SB0355",1.11111111111111E+042,777777760000031,"7F-7F-7F-60-00-07"
"SB0356",1.11111000111111E+042,770777607777651,"7E-1F-7E-0F-FF-6B"
"SB0357",1.11111000111111E+042,770777707777651,"7E-1F-7F-0F-FF-6B"
