,name,sample,county,species,filename,pair,SB,SequenceName,ClusterNumber,clade
143,2266,2266,Monaghan,Badger,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2266_S22_L001-4_R2_001.fastq.gz,1,SB0140,2266,3,Monaghan-2
144,23-MBovis,23-MBovis,Wicklow,Deer,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/23-MBovis_S26_L001-4_R1_001.fastq.gz,1,SB0054,23-MBovis,5,Wicklow-1
145,2347,2347,Monaghan,,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2347_S10_L001-4_R2_001.fastq.gz,1,SB0142,2347,6,Monaghan-3
146,2385,2385,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2385_S20_L001-4_R2_001.fastq.gz,1,SB0140,2385,4,Monaghan-1
147,2388,2388,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2388_S54_L001-4_R2_001.fastq.gz,1,SB0140,2388,4,Monaghan-1
148,2395,2395,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2395_S13_L001-4_R2_001.fastq.gz,1,SB0140,2395,3,Monaghan-2
149,2397,2397,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2397_S93_L001-4_R1_001.fastq.gz,1,SB0140,2397,3,Monaghan-2
150,24-MBovis,24-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/24-MBovis_S2_L001-4_R2_001.fastq.gz,1,SB0054,24-MBovis,5,Wicklow-1
151,2401,2401,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2401_S48_L001-4_R1_001.fastq.gz,1,SB0142,2401,6,Monaghan-3
152,2410,2410,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2410_S42_L001-4_R2_001.fastq.gz,1,SB0140,2410,4,Monaghan-1
153,2411,2411,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2411_S11_L001-4_R2_001.fastq.gz,1,SB0140,2411,3,Monaghan-2
154,2423p,2423p,Monaghan,Cow,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2423p_S29_L001-4_R1_001.fastq.gz,1,SB0142,2423p,6,Monaghan-3
155,25-MBovis,25-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_09-07-18/25-MBovis_S1_L001-4_R2_001.fastq.gz,1,SB0054,25-MBovis,5,Wicklow-1
156,2591,2591,Monaghan,,/storage/btbgenie/mbovis_ireland/Monaghan/Fastqs_29-07-19/2591_S49_L001-4_R1_001.fastq.gz,1,SB0140,2591,3,Monaghan-2
157,26-12883,26-12883,Wicklow,Deer,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_15-03-19/26-12883_S29_L001-4_R1_001.fastq.gz,1,SB0054,26-12883,5,Wicklow-1
158,26-MBovis,26-MBovis,Wicklow,Cow,/storage/btbgenie/mbovis_ireland/Wicklow/Fastqs_07-01-18/26-MBovis_S43_L001-4_R1_001.fastq.gz,1,SB0054,26-MBovis,5,Wicklow-1
