"Accession_Number","Clonal_Complex","Country","Gnumber","Host","Map","SIB_Number","Sample.included.in.Loiseau.et.al..2020"
"SRR7851343","La1.7.1","France","G47616","Cattle",1,"SB0339",0
"SRR7851349","La1.7.1","France","G47622","Cattle",1,"SB0121",0
"SRR7851357","La1.7.1","France","G47630","Cattle",1,"SB0121",0
"SRR7851358","La1.7.1","France","G47631","Sheep",1,"SB0121",0
"SRR7851363","La1.7.1","France","G47636","Cattle",1,"SB0121",0
"SRR7851380","La1.7.1","France","G47653","Cattle",1,"SB0999",0
"SRR7851382","La1.7.1","France","G47655","Cattle",1,"SB0295",0
"SRR7851303","La1.7.1","France","G49367","Cattle",1,"SB0152",0
"SRR7851301","La1.7.1","France","G49369","Cattle",1,"SB0339",0
"SRR9850824","La1.7.1","Brazil","G49370","captive capybara",0,"SB0295",0
"SRR9850830","La1.7.1","Brazil","G49371","captive Lama glama",0,"SB0295",0
"SRR7693912","La1.7.1","Brazil","G66750","captive European Bison",0,"SB0121",0
"ERR1082113","L6","Ghana","G08466","Human",,,0
"ERR015582","La3",,"G00130","Oryx",0,"SB0422",0
"ERR2659153","La3","Australia","G01224","Human",1,"SB0422",0
"ERR2659154","La3","Australia","G01225","Human",1,"SB0422",0
"ERR2659155","La3","Australia","G01226","Human",1,"SB0422",0
"ERR2659156","La3","Australia","G01227","Human",1,"SB0422",0
"ERR234675","La3",,"G04149",,0,"SB0422",0
"ERR234676","La3",,"G04150",,0,"New pattern",0
"ERR234682","La3",,"G04151",,0,"New pattern",0
"ERR017782","La3","United Kingdom","G04156",,0,"SB0422",0
"SRR2100577","La3","United Kingdom","G14722",,0,"SB0422",0
"SRR2101161","La3","United Kingdom","G15298",,0,"SB0422",0
"SRR2101222","La3","United Kingdom","G15359",,0,"New pattern",0
"SRR2101291","La3","United Kingdom","G15428",,0,"SB0422",0
"SRR2101329","La3","United Kingdom","G15466",,0,"SB0422",0
"SRR5642711","La3","USA","G22513","Human",1,"SB0422",0
"SRR5642712","La3","USA","G22514","Human",1,"SB0422",0
"SRR5642713","La3","USA","G22515","Human",1,"SB0422",0
"SRR5642714","La3","USA","G22516","Human",1,"SB0422",0
"SRR5642715","La3","USA","G22517","Human",1,"New pattern",0
"SRR5642716","La3","USA","G22518","Human",1,"SB0422",0
"SRR5642717","La3","USA","G22519","Human",1,"SB0422",0
"SRR5642718","La3","USA","G22520","Human",1,"SB0422",0
,"La3","South Africa","G26559","antelope zoo ",0,"SB0422",0
,"La3","Netherlands","G26560","Oryx zoo",0,"SB0422",0
,"La3","Netherlands","G26561","antilope zoo",0,"SB0422",0
,"La3",,"G26562",,0,"SB0422",0
,"La3","South Asia","G26563","human ",0,"SB0422",0
,"La3","Netherlands","G26564","waterbuck zoo ",0,"SB0422",0
,"La3","South Asia","G26565","human ",0,"SB0422",0
,"La3","South Asia","G26566","human ",0,"SB0422",0
,"La3","Southeast Asia","G26567","human ",0,"New pattern",0
,"La3","South Asia","G26568","human ",0,"SB0422",0
,"La3","South Asia","G26569","human ",0,"SB0422",0
,"La3",,"G26570",,0,"SB0422",0
,"La3","South Asia","G26571","Human",0,"SB0422",0
,"La3",,"G26572",,0,"New pattern",0
"SRR6797355","La3","Bangladesh","G28351","Human",0,"SB0422",0
"SRR6045015","La3","United Kingdom","G36763","Human",0,"SB0422",0
"ERR2512389","La3","United Kingdom","G36764","Human",0,"SB0422",0
"ERR2512788","La3","United Kingdom","G36765","Human",0,"SB0422",0
"ERR2512826","La3","United Kingdom","G36766","Human",0,"SB0422",0
"ERR2512859","La3","United Kingdom","G36767","Human",0,"New pattern",0
"ERR2512942","La3","United Kingdom","G36768","Human",0,"New pattern",0
"SRR6044858","La3","United Kingdom","G36769","Human",0,"New pattern",0
"SRR6046695","La3","United Kingdom","G36770","Human",0,"SB0422",0
"ERR2513195","La3","United Kingdom","G36771","Human",0,"SB0422",0
"SRR6045425","La3","United Kingdom","G36772","Human",0,"New pattern",0
"ERR2513625","La3","United Kingdom","G36773","Human",0,"SB0422",0
"ERR2513671","La3","United Kingdom","G36774","Human",0,"New pattern",0
"SRR3675498","La3","United Kingdom","G36775","Human",0,"New pattern",0
"ERR2514172","La3","United Kingdom","G36776","Human",0,"SB0422",0
"SRR6045962","La3","United Kingdom","G36778","Human",0,"SB0422",0
"SRR6044939","La3","United Kingdom","G36779","Human",0,"SB0422",0
"SRR6045301","La3","United Kingdom","G36781","Human",0,"SB0422",0
"ERR2514578","La3","United Kingdom","G36782","Human",0,"SB0422",0
"SRR6046725","La3","United Kingdom","G36783","Human",0,"SB0422",0
"ERR2514738","La3","United Kingdom","G36784","Human",0,"SB0422",0
"ERR2514957","La3","United Kingdom","G36785","Human",0,"SB0422",0
"SRR6046235","La3","United Kingdom","G36786","Human",0,"SB0422",0
"ERR2515051","La3","United Kingdom","G36787","Human",0,"New pattern",0
"ERR2512533","La3","United Kingdom","G36788","Human",0,"New pattern",0
"ERR2199741","La3","Germany","G36789","Human",0,"New pattern",0
"ERR2199829","La3","Germany","G36790","Human",0,"New pattern",0
"ERR2200114","La3","Germany","G36791","Human",0,"SB0422",0
"ERR2517102","La3","United Kingdom","G36792","Human",0,"SB0422",0
"ERR2517593","La3","Netherlands","G36793","Human",0,"New pattern",0
"SRR9157804","La3","India","G49362","Cattle",1,"SB0422",0
"SRR10251193","La3","India","G49372","Cattle",1,"New pattern",0
"SRR10251194","La3","India","G49373","Cattle",1,"New pattern",0
"SRR10251195","La3","India","G49374","Deer",1,"New pattern",0
"SRR10251196","La3","India","G49375","Deer",1,"New pattern",0
"SRR10251197","La3","India","G49376","Cattle",1,"SB0422",0
"SRR10251198","La3","India","G49377","Deer",1,"New pattern",0
"SRR10251199","La3","India","G49378","Deer",1,"New pattern",0
"SRR10251200","La3","India","G49379","Cattle",1,"SB0422",0
"SRR10251201","La3","India","G49380","Cattle",1,"New pattern",0
"SRR10251185","La3","India","G49381","Cattle",1,"SB0422",0
"SRR10251186","La3","India","G49382","Cattle",1,"New pattern",0
"SRR10251187","La3","India","G49383","Cattle",1,"New pattern",0
"SRR10251188","La3","India","G49384","Cattle",1,"New pattern",0
"SRR10251189","La3","India","G49385","Cattle",1,"SB0422",0
"SRR10251190","La3","India","G49386","Cattle",1,"SB0422",0
"SRR10251191","La3","India","G49387","Cattle",1,"SB0422",0
"SRR10251192","La3","India","G49388","Cattle",1,"SB0422",0
"SRR10251202","La3","India","G49389","Deer",1,"New pattern",0
"SRR10251203","La3","India","G49390","Cattle",1,"New pattern",0
"SRR10321143","La3","India","G49401","Human",1,"SB0422",0
"SRR10321149","La3","India","G49402","Human",1,"SB0422",0
"SRR10321128","La3","India","G49403","Human",1,"SB0422",0
"SRR10321130","La3","India","G49404","Human",1,"SB0422",0
"SRR10321134","La3","India","G49405","Human",1,"SB0422",0
"ERR161044","La1.1","Malawi","G04143","Human",0,"New pattern",1
"ERR181980","La1.1","Malawi","G04145","Human",0,"SB2190",1
"ERR212091","La1.1","Malawi","G04147","Human",1,"SB0425",1
"ERR2815611","La1.1","Germany","G36800","antelope",0,"SB1898",0
"SRR8065072","La1.1","Uganda","G41493","Cattle",1,"SB1405",1
"SRR8065075","La1.1","Uganda","G41496","Cattle",1,"SB1406",1
"SRR8065076","La1.1","Uganda","G41497","Cattle",1,"SB1405",1
"SRR8065077","La1.1","Uganda","G41498","Cattle",1,"SB1406",1
"SRR8065083","La1.1","Uganda","G41504","Cattle",1,"SB1405",1
"ERR3458083","La1.2","Ethiopia","G00208","Cattle",1,"SB0134",1
"SAMN03023955","La1.2",,"G01032","BCG",0,"New pattern",1
"SRS897753","La1.2","United Kingdom","G01033","BCG",0,"SB0120",1
"SRS897754","La1.2",,"G01034","BCG",0,"SB0120",1
"SAMN03023958","La1.2",,"G01035","BCG",0,"SB0120",1
"SAMN03023953","La1.2",,"G01036","BCG",0,"SB0120",1
"SAMN03023954","La1.2",,"G01037","BCG",0,"SB0120",1
"SAMN03023952","La1.2",,"G01038","BCG",0,"SB0120",1
"SAMN03023966","La1.2",,"G01039","BCG",0,"SB0120",1
"SAMN03023960","La1.2",,"G01040","BCG",0,"SB0120",1
"SAMN03023957","La1.2",,"G01041","BCG",0,"SB0120",1
"SRS897671","La1.2",,"G01551","BCG",0,"SB0120",1
"ERS2573046","La1.2","Switzerland","G02545","Human",0,"SB0120",1
"SRR5486087","La1.2","Spain","G36378","Cattle",1,"SB0120",1
"SRR5486088","La1.2","Spain","G36379","Cattle",1,"SB0120",1
"SRR5486089","La1.2","Spain","G36380","Cattle",1,"SB0828",1
"SRR5486090","La1.2","Spain","G36381","Cattle",1,"SB0828",1
"SRR5486091","La1.2","Spain","G36382","Cattle",1,"SB0828",1
"SRR5486092","La1.2","Spain","G36383","Cattle",1,"SB0828",1
"SRR5486093","La1.2","Spain","G36384","Cattle",1,"SB0828",1
"SRR5486073","La1.2","Eritrea","G36385","Cattle",1,"SB0134",1
"SRR5486074","La1.2","Eritrea","G36386","Cattle",1,"SB0120",1
"SRR5486075","La1.2","Eritrea","G36387","Cattle",1,"SB0134",1
"SRR5486076","La1.2","Eritrea","G36388","Cattle",1,"SB0134",1
"SRR5486077","La1.2","Eritrea","G36389","Cattle",1,"SB0120",1
"SRR5486078","La1.2","Eritrea","G36390","Cattle",1,"SB0120",1
"SRR5486079","La1.2","Eritrea","G36391","Cattle",1,"SB0120",1
"SRR5486080","La1.2","Eritrea","G36392","Cattle",1,"SB0948",1
"SRR5486081","La1.2","Eritrea","G36393","Cattle",1,"SB0134",1
"SRR5486082","La1.2","Eritrea","G36394","Cattle",1,"SB0120",1
"SRR5486083","La1.2","Eritrea","G36395","Cattle",1,"SB0120",1
"SRR5486084","La1.2","Eritrea","G36396","Cattle",1,"SB0120",1
"SRR5486085","La1.2","Eritrea","G36397","Cattle",1,"SB0120",1
"SRR5486086","La1.2","Eritrea","G36398","Cattle",1,"SB0120",1
"SRR5486071","La1.2","Ethiopia","G36399","Cattle",1,"SB1517",1
"SRR5486072","La1.2","Ethiopia","G36400","Cattle",1,"SB1517",1
"ERR2815610","La1.2",,"G36801","BCG",0,"SB0120",0
"ERR2815607","La1.2","Germany","G36804","cattle",0,"SB0120",0
"ERR2815602","La1.2",,"G36809","BCG",0,"SB0120",0
"ERR2815506","La1.2","Germany","G36898","cattle",0,"SB0120",0
"SRR1792485","La1.2","USA","G37692","Cattle",1,"SB0120",1
"SRR5485729","La1.2","USA","G37788","Cattle",1,"SB0120",1
"SRR4117155;SRR4199188","La1.2","France","G38455","wild boar",1,"SB0120",1
"SRR7131117","La1.2","Italy","G38462","Human",0,"SB0120",1
"SRR7131025","La1.2","Morocco","G38463","Human",1,"SB0120",1
"SRR3085259","La1.2","Tunisia","G42039","Human",1,"SB0120",1
,"La1.2","Switzerland","G45334","cattle",1,"SB0849",0
,"La1.2","Switzerland","G45335","cattle",1,"SB0120",0
,"La1.2","Switzerland","G45336","cattle",1,"SB0120",0
"SRR7851302","La1.2","France","G47575","cattle",1,"SB0134",0
"SRR7851309","La1.2","France","G47582","cattle",1,"SB2680",0
"SRR7851312","La1.2","France","G47585","cattle",1,"SB0120",0
"SRR7851313","La1.2","France","G47586","cattle",1,"SB0948",0
"SRR7851316","La1.2","France","G47589","cattle",1,"SB0120",0
"SRR7851317","La1.2","France","G47590","cattle",1,"SB0040",0
"SRR7851321","La1.2","France","G47594","cattle",1,"SB0120",0
"SRR7851322","La1.2","France","G47595","cattle",1,"SB0120",0
"SRR7851323","La1.2","France","G47596","cattle",1,"SB0120",0
"SRR7851325","La1.2","France","G47598","cattle",1,"SB0927",0
"SRR7851326","La1.2","France","G47599","cattle",1,"SB0120",0
"SRR7851329","La1.2","France","G47602","cattle",1,"SB0134",0
"SRR7851330","La1.2","France","G47603","cattle",1,"SB0120",0
"SRR7851331","La1.2","France","G47604","cattle",1,"SB0120",0
"SRR7851334","La1.2","France","G47607","cattle",1,"New pattern",0
"SRR7851342","La1.2","France","G47615","cattle",1,"SB0120",0
"SRR7851344","La1.2","France","G47617","cattle",1,"SB0120",0
"SRR7851345","La1.2","France","G47618","cattle",1,"SB0120",0
"SRR7851346","La1.2","France","G47619","cattle",1,"SB0120",0
"SRR7851347","La1.2","France","G47620","cattle",1,"SB0822",0
"SRR7851348","La1.2","France","G47621","cattle",1,"New pattern",0
"SRR7851350","La1.2","France","G47623","cattle",1,"SB0120",0
"SRR7851352","La1.2","France","G47625","cattle",1,"SB0162",0
"SRR7851353","La1.2","France","G47626","cattle",1,"SB0120",0
"SRR7851355","La1.2","France","G47628","cattle",1,"SB0828",0
"SRR7851356","La1.2","France","G47629","cattle",1,"SB0120",0
"SRR7851359","La1.2","France","G47632","cattle",1,"New pattern",0
"SRR7851360","La1.2","France","G47633","cattle",1,"SB0120",0
"SRR7851365","La1.2","France","G47638","cattle",1,"SB0120",0
"SRR7851367","La1.2","France","G47640","cattle",1,"SB0120",0
"SRR7851368","La1.2","France","G47641","cattle",1,"New pattern",0
"SRR7851369","La1.2","France","G47642","cattle",1,"SB0120",0
"SRR7851371","La1.2","France","G47644","cattle",1,"New pattern",0
"SRR7851374","La1.2","France","G47647","cattle",1,"SB0120",0
"SRR7851375","La1.2","France","G47648","cattle",1,"SB0120",0
"SRR7851377","La1.2","France","G47650","cattle",1,"New pattern",0
"SRR7851381","La1.2","France","G47654","cattle",1,"SB0120",0
"SRR4117155","La1.2","France","G47677","cattle",1,"SB0120",0
"SRR4199188","La1.2","France","G47678","cattle",1,"SB0120",0
"SRR7851302","La1.2","France","G49366","cattle",1,"SB0134",0
"SRR10303300","La1.2","Kazakhstan","G59919","Human",1,"SB0120",0
"SRR10379919","La1.2","Moldova","G59967","Human",1,"SB0120",0
"SRR10430327","La1.2","Kazakhstan","G60801","Human",1,"SB0120",0
,"La1.2","Turkey","G66326","Human",1,"SB0120",0
"ERR4769564","La1.2","Ethiopia","G66536","update",0,"SB0134",0
"ERR4769563","La1.2","Ethiopia","G66537","update",0,"SB0134",0
"ERR4769562","La1.2","Ethiopia","G66538","update",0,"SB0134",0
"ERR4772233","La1.2","Ethiopia","G66546","update",0,"SB0134",0
"ERR4772230","La1.2","Ethiopia","G66711","update",1,"SB0134",0
"ERR4772226","La1.2","Ethiopia","G66715","update",1,"SB0134",0
"ERR4772225","La1.2","Ethiopia","G66716","update",1,"SB0134",0
"ERR4772219","La1.2","Ethiopia","G66722","update",1,"SB0134",0
"ERR4772218","La1.2","Ethiopia","G66723","update",1,"SB0134",0
"ERR4772212","La1.2","Ethiopia","G66729","update",1,"SB0134",0
"ERR4772211","La1.2","Ethiopia","G66730","update",1,"SB0134",0
"ERR4772210","La1.2","Ethiopia","G66731","update",1,"SB0134",0
"ERR4772206","La1.2","Ethiopia","G66734","update",1,"SB0134",0
"ERR4772205","La1.2","Ethiopia","G66735","update",1,"SB0134",0
"ERR6358029","La1.2","Italy","G66752","cattle",1,"SB0841",0
"ERR6358030","La1.2","Italy","G66753","cattle",1,"SB0120",0
"ERR229952","La1.4","Russia","G04148",,0,"SB1919",1
"ERR551252","La1.4","Germany","G13403","Human",0,"SB0288",1
"ERR2199785","La1.4","Germany","G36744",,0,"SB0120",1
"ERR2200072","La1.4","Germany","G36745",,0,"SB0120",1
"ERR2517425","La1.4","Netherlands","G36751",,0,"SB0288",1
"ERR2815603","La1.4","Germany","G36808","cat",0,"SB0288",0
"ERR2851358","La1.4","Lebanon","G42133","Human",1,"SB1215",1
,"La1.4","Turkey","G66308","Human",1,"SB0288",0
,"La1.4","Turkey","G66310","Human",1,"SB0288",0
,"La1.4","Turkey","G66312","Human",1,"SB0288",0
,"La1.4","Turkey","G66314","Human",1,"SB2466",0
,"La1.4","Turkey","G66315","Human",1,"SB0288",0
,"La1.4","Turkey","G66316","Human",1,"New pattern",0
,"La1.4","Turkey","G66317","Human",1,"SB0288",0
,"La1.4","Turkey","G66318","Human",1,"SB0288",0
,"La1.4","Turkey","G66319","Human",1,"SB2509",0
,"La1.4","Turkey","G66322","Human",1,"New pattern",0
,"La1.4","Turkey","G66324","Human",1,"SB0120",0
,"La1.4","Turkey","G66325","Human",1,"SB0120",0
,"La1.4","Turkey","G66327","Human",1,"SB0288",0
,"La1.4","Turkey","G66328","Human",1,"New pattern",0
,"La1.4","Turkey","G66329","Human",1,"New pattern",0
"ERR550755","La1.7-unk4","Germany","G13253",,0,"SB0871",1
"ERR551009","La1.7-unk4","Germany","G13329","Human",0,"New pattern",1
"ERR551191","La1.7-unk4","Germany","G13389","Human",0,"SB0120",1
"ERR551917","La1.7-unk4","Germany","G13622","Human",0,"New pattern",1
"ERR2815613","La1.7-unk4","Germany","G36798","cattle",0,"SB0120",0
"ERR2815612","La1.7-unk4","Germany","G36799","cattle",0,"SB0120",0
"ERR2815536","La1.7-unk4","Germany","G36872","cattle",0,"SB0120",0
"ERR2815535","La1.7-unk4","Germany","G36873","cattle",0,"SB0120",0
"ERR2815520","La1.7-unk4","Germany","G36886","cattle",0,"SB0120",0
"ERR2815519","La1.7-unk4","Germany","G36887","pig",0,"SB0120",0
"ERR2815512","La1.7-unk4","Germany","G36892","pig",0,"SB0120",0
"ERR2815510","La1.7-unk4","Germany","G36894","cattle",0,"SB0120",0
"SRR7851362","La1.7-unk4","France","G47635","cattle",1,"SB0829",0
"SRR7851366","La1.7-unk4","France","G47639","cattle",1,"SB0120",0
"SRR7851373","La1.7-unk4","France","G47646","cattle",1,"SB0121",0
"ERR3445485","La1.7-unk4","Brazil","G47656","cattle/Buffalo",1,"SB0822",0
"ERR3445486","La1.7-unk4","Brazil","G47657","cattle/Buffalo",1,"SB0822",0
"ERR3445487","La1.7-unk4","Brazil","G47658","cattle/Buffalo",1,"SB0822",0
"ERR3445488","La1.7-unk4","Brazil","G47659","cattle/Buffalo",1,"SB0822",0
"ERR3445489","La1.7-unk4","Brazil","G47660","cattle/Buffalo",1,"SB0822",0
"ERR3445490","La1.7-unk4","Brazil","G47661","cattle/Buffalo",1,"SB0822",0
"ERR3445491","La1.7-unk4","Brazil","G47662","cattle/Buffalo",1,"SB0822",0
"ERR3445492","La1.7-unk4","Brazil","G47663","cattle/Buffalo",1,"SB0822",0
"ERR3445494","La1.7-unk4","Brazil","G47665","cattle/Buffalo",1,"SB0822",0
"ERR3445495","La1.7-unk4","Brazil","G47666","cattle/Buffalo",1,"SB0822",0
"ERR3445496","La1.7-unk4","Brazil","G47667","cattle/Buffalo",1,"SB0885",0
"ERR3445497","La1.7-unk4","Brazil","G47668","cattle/Buffalo",1,"SB0822",0
"ERR3445498","La1.7-unk4","Brazil","G47669","cattle/Buffalo",1,"SB0822",0
"ERR3445499","La1.7-unk4","Brazil","G47670","cattle/Buffalo",1,"SB0822",0
"ERR3445500","La1.7-unk4","Brazil","G47671","cattle/Buffalo",1,"SB0822",0
"ERR3906063","La1.7-unk4","Brazil","G47676","cattle/Buffalo",1,"SB0822",0
"ERR2512839","La1.7-unk5","United Kingdom","G36713","Human",0,"New pattern",1
"SRR8064853","La1.7-unk5","Zambia","G41509","Cattle",1,"SB0120",1
"SRR8064854","La1.7-unk5","Zambia","G41510","Cattle",1,"SB0120",1
"SRR8064855","La1.7-unk5","Zambia","G41511","Cattle",1,"SB0120",1
"SRR8064856","La1.7-unk5","Zambia","G41512","Cattle",1,"SB0120",1
"SRR8064857","La1.7-unk5","Zambia","G41513","Cattle",1,"SB0120",1
"SRR8064858","La1.7-unk5","Zambia","G41514","Cattle",1,"SB0120",1
"SRR8064859","La1.7-unk5","Zambia","G41515","Cattle",1,"SB0120",1
"SRR8064860","La1.7-unk5","Zambia","G41516","Cattle",1,"SB0120",1
"SRR1792161","La1.8-unk6","USA","G37368","Cervid",1,"SB1069",1
"SRR1792474","La1.8-unk6","USA","G37681","Cervid",1,"SB1069",1
"SRR1792479","La1.8-unk6","USA","G37686","Cervid",1,"SB1069",1
"SRR1792481","La1.8-unk6","USA","G37688","Cervid",1,"SB1069",1
"SRR1792482","La1.8-unk6","USA","G37689","Cervid",1,"SB1069",1
"SRR1792488","La1.8-unk6","USA","G37695","Cervid",1,"SB1069",1
"SRR1792493","La1.8-unk6","USA","G37700","Cervid",1,"SB1069",1
"ERR2512675","La1.8.2","United Kingdom","G36708","Human",0,"SB0901",1
"SRR6044919","La1.8.2","United Kingdom","G36715","Human",0,"SB0134",1
"ERR2516262","La1.8.2","Belgium","G36742",,0,"SB0134",1
"SRR5196685","La1.8.2","France","G38456","Cattle",1,"SB0821",1
"SRR7851304","La1.8.2","France","G47577","Cattle",1,"SB0134",0
"SRR7851306","La1.8.2","France","G47579","Cattle",1,"SB0825",0
"SRR7851307","La1.8.2","France","G47580","Cattle",1,"SB0821",0
"SRR7851311","La1.8.2","France","G47584","Cattle",1,"SB0818",0
"SRR7851315","La1.8.2","France","G47588","Cattle",1,"SB0089",0
"SRR7851324","La1.8.2","France","G47597","Cattle",1,"SB0826",0
"SRR7851327","La1.8.2","France","G47600","Cattle",1,"SB0134",0
"SRR7851328","La1.8.2","France","G47601","pig",1,"SB0840",0
"SRR7851333","La1.8.2","France","G47606","Cattle",1,"SB0040",0
"SRR7851336","La1.8.2","France","G47609","Cattle",1,"SB0134",0
"SRR7851337","La1.8.2","France","G47610","Cattle",1,"SB0885",0
"SRR7851338","La1.8.2","France","G47611","Cattle",1,"SB0134",0
"SRR7851339","La1.8.2","France","G47612","Cattle",1,"New pattern",0
"SRR7851340","La1.8.2","France","G47613","Cattle",1,"SB0928",0
"SRR7851354","La1.8.2","France","G47627","Cattle",1,"SB0818",0
"SRR7851361","La1.8.2","France","G47634","Cattle",1,"SB0128",0
"SRR7851370","La1.8.2","France","G47643","Cattle",1,"SB0823",0
"SRR7851372","La1.8.2","France","G47645","Cattle",1,"SB0089",0
"SRR7851376","La1.8.2","France","G47649","Cattle",1,"SB0120",0
"SRR7851378","La1.8.2","France","G47651","Cattle",1,"SB0824",0
"SRR7851379","La1.8.2","France","G47652","Cattle",1,"SB0827",0
"SRR5196685","La1.8.2","France","G47679","Cattle",1,"SB0821",0
"SRR7851306","La1.8.2","France","G49363","Cattle",1,"SB0825",0
"SRR7851304","La1.8.2","France","G49364","Cattle",1,"SB0134",0
"ERR4769570","La1.8.2","Mali","G66530","Cattle",1,"SB0991",0
"ERR4769569","La1.8.2","Mali","G66531","Cattle",1,"SB0134",0
"ERR3458082","La1.8-unk8","Ethiopia","G00373","Cattle",1,"SB1476",1
,"La1.5","Turkey","G66320","Human",1,"SB0989",0
,"La1.5","Turkey","G66321","Human",1,"SB0989",0
"ERR2212113","La1.5","Germany","G66737","red deer",1,"SB0989",0
"ERR2212114","La1.5","Germany","G66738","red deer",1,"SB0989",0
"ERR2212116","La1.5","Germany","G66740","red deer",1,"SB0989",0
"ERR2212117","La1.5","Germany","G66741","red deer",1,"SB0989",0
"ERR2212118","La1.5","Germany","G66742","bison",0,"SB0989",0
"ERR2212119","La1.5","Germany","G66743","lynx",0,"SB0989",0
"ERR2212120","La1.5","Germany","G66744","fallow deer",1,"SB0989",0
"ERR2212121","La1.5","Germany","G66745","sika deer",0,"SB0989",0
"ERR2212122","La1.5","Germany","G66746","fallow deer",1,"SB0989",0
"ERR2212123","La1.5","Germany","G66747","fallow deer",1,"SB0989",0
"ERR2212124","La1.5","Germany","G66748","red deer",1,"SB0989",0
"ERR2212125","La1.5","Germany","G66749","lynx",0,"SB0989",0
"SRR13888760","La2","Spain","G67120","Wild boar",,"SB1908",
"SRR13888783","La2","Spain","G67121","Cattle",,"SB0418",
"SRR13888762","La2","Spain","G67122","Goat",,"SB0157",
"SRR13888792","La2","Spain","G67123","Goat",,"SB0416",
"SRR13888769","La2","Spain","G67124","Goat",,"SB0415",
"SRR13888773","La2","Spain","G67125","Goat",,"SB1081",
"SRR13888784","La2","Spain","G67126","isolated from Cattle",,"SB0418",
"SRR13888788","La2","Spain","G67127","Goat",,"SB0157",
"SRR13888766","La2","Spain","G67128","Goat",,"SB0157",
"SRR13888795","La2","Spain","G67129","isolated from Cattle",,"SB1199",
"SRR13888781","La2","Spain","G67130","isolated from Cattle",,"SB0418",
"SRR13888794","La2","Spain","G67131","Goat",,"SB0157",
"SRR13888789","La2","Spain","G67132","isolated from Cattle",,"SB0418",
"SRR13888753","La2","Spain","G67133","Goat",,"SB0416",
"SRR13888763","La2","Spain","G67134","Goat",,"SB0157",
"SRR13888775","La2","Spain","G67135","Goat",,"SB0157",
"SRR13888757","La2","Spain","G67136","Wild boar",,"SB0415",
"SRR13888759","La2","Spain","G67137","Wild boar",,"SB0415",
"SRR13888774","La2","Spain","G67138","Cattle",,"SB0418",
"SRR13888786","La2","Spain","G67139","Cattle",,"SB0415",
"SRR13888790","La2","Spain","G67140","Cattle",,"SB0416",
"SRR13888797","La2","Spain","G67141","Cattle",,"SB1199",
"SRR13888772","La2","Spain","G67142","Goat",,"SB0415",
"SRR13888776","La2","Spain","G67143","Cattle",,"SB1902",
"SRR13888782","La2","Spain","G67144","Goat",,"SB0415",
"SRR13888764","La2","Spain","G67145","Goat",,"SB0157",
"SRR13888750","La2","Spain","G67146","Cattle",,"SB0418",
"SRR13888767","La2","Spain","G67147","Wild boar",,"SB0415",
"SRR13888765","La2","Spain","G67148","Goat",,"SB0416",
"SRR13888780","La2","Spain","G67149","Cattle",,"SB0415",
"SRR13888761","La2","Spain","G67150","Wild boar",,"SB0415",
"SRR13888770","La2","Spain","G67151","Goat",,"SB1081",
"SRR13888798","La2","Spain","G67152","Cattle",,"SB0416",
"SRR13888771","La2","Spain","G67153","Goat",,"SB1081",
"SRR13888785","La2","Spain","G67154","Cattle",,"SB1908",
"SRR13888749","La2","Spain","G67155","Goat",,"SB0416",
"SRR13888758","La2","Spain","G67156","Wild boar",,"SB0415",
"SRR13888777","La2","Spain","G67157","Wild boar",,"SB0157",
"SRR13888799","La2","Spain","G67158","Cattle",,"SB0415",
"SRR13888752","La2","Spain","G67159","Cattle",,"SB0416",
"SRR13888778","La2","Spain","G67160","Cattle",,"SB0418",
"SRR13888796","La2","Spain","G67161","Cattle",,"SB0157",
"SRR13888787","La2","Spain","G67162","Cattle",,"SB0157",
"SRR13888791","La2","Spain","G67163","Goat",,"SB0157",
"SRR13888755","La2","Spain","G67164","Goat",,"SB0416",
"SRR13888768","La2","Spain","G67165","Wild boar",,"SB0157",
"SRR13888756","La2","Spain","G67166","Wild boar",,"SB0415",
"SRR13888754","La2","Spain","G67167","Cattle",,"SB0416",
"SRR13888751","La2","Spain","G67168","Goat",,"SB0416",
"SRR13888779","La2","Spain","G67169","Sheep",,"SB0157",
"SRR13888793","La2","Spain","G67170","Goat",,"SB0415",
