SB,binary,octal,hexadecimal
SB1588,1101100101111110111111111101101111111100000,662773776677600,6C-5F-5F-7D-BF-60
SB1589,1101111101100000000000011111111111111100000,676600017777600,6F-58-00-1F-FF-60
SB1590,1101111101100010110111111111111111111000000,676613377777400,6F-58-5B-7F-FF-40
SB1591,1101111101101110111111111111111110111100000,676673777773600,6F-5B-5F-7F-FB-60
SB1592,1101111101111110111110011111111111001100000,676773717774600,6F-5F-5F-1F-FC-60
SB1593,1101111101111110111111111110000011111100000,676773777017600,6F-5F-5F-7E-0F-60
SB1594,1101111101111110111111111110000001111100000,676773777007600,6F-5F-5F-7E-07-60
SB1595,1101111101111110111011111111111111111100000,676773577777600,6F-5F-5D-7F-FF-60
SB1596,1101111101111100011111111111111111111100000,676761777777600,6F-5F-0F-7F-FF-60
SB1597,1101001101111110110001111111111101111100000,646773077767600,69-5F-58-7F-F7-60
SB1598,1101111101111110111110001111111111110100000,676773707777200,6F-5F-5F-0F-FF-20
SB1599,1100000000000010111111111000000111111100000,600013774037600,60-00-5F-78-1F-60
SB1600,1101101000001110111111111111110011111100000,664073777717600,6D-03-5F-7F-CF-60
SB1601,1101100000000000011111111111111111111100000,660001777777600,6C-00-0F-7F-FF-60
SB1602,1101101000001110110111111000000111111100000,664073374037600,6D-03-5B-78-1F-60
SB1603,1101101000001110111110111111111000001100000,664073737740600,6D-03-5F-3F-E0-60
SB1604,1101101000001110111111111000000110111100000,664073774033600,6D-03-5F-78-1B-60
SB1605,1101101000001110111111011000000111111100000,664073754037600,6D-03-5F-58-1F-60
SB1607,1101011101111100111101111111111111111100000,656763677777600,6B-5F-1E-7F-FF-60
SB1608,1101111101111100111101111111111111110100000,676763677777200,6F-5F-1E-7F-FF-20
SB1609,1101011101111100111101111111110111111100000,656763677737600,6B-5F-1E-7F-DF-60
SB1610,1100111101110110111111111111111111111000000,636733777777400,67-5D-5F-7F-FF-40
SB1611,1101100101111110111011111111001111111100000,662773577477600,6C-5F-5D-7F-3F-60
SB1612,1101111101100010110111111100111111111000000,676613376377400,6F-58-5B-7C-FF-40
SB1613,0001111000011110111111111111111111111100000,074173777777600,0F-07-5F-7F-FF-60
SB1614,1101100101100010111000001000111111111100000,662613404377600,6C-58-5C-08-FF-60
SB1615,1101100101100010111111111000111111111100000,662613774377600,6C-58-5F-78-FF-60
SB1616,1101111101000000011111111111111111111100000,676401777777600,6F-50-0F-7F-FF-60
SB1617,1101111101011110111111111100000001111100000,676573776007600,6F-57-5F-7C-07-60
SB1618,0100000000000000111110011110100001001100000,200003717204600,20-00-1F-1E-84-60
SB1619,1101100000000010111111111111111111111100000,660013777777600,6C-00-5F-7F-FF-60
SB1620,1101001000000110111111111111111001111100000,644033777747600,69-01-5F-7F-E7-60
SB1621,1101111101111110111111011111111110111100000,676773757773600,6F-5F-5F-5F-FB-60
SB1622,0000000000000000111111111110111111111100000,000003777377600,00-00-1F-7E-FF-60
SB1623,1000000001111110111111111111111111111100000,400773777777600,40-1F-5F-7F-FF-60
SB1624,1101111101111010111101111111111111111100000,676753677777600,6F-5E-5E-7F-FF-60
SB1625,0000000000001110111111111111111111111100000,000073777777600,00-03-5F-7F-FF-60
SB1626,1101111101111100110111111111111011111100000,676763377757600,6F-5F-1B-7F-EF-60
SB1627,1101111101111110111101111111111111010100000,676773677775200,6F-5F-5E-7F-FD-20
SB1628,1101111101111000110111111111111011111100000,676743377757600,6F-5E-1B-7F-EF-60
SB1629,1101111101011110111111111111111110011100000,676573777771600,6F-57-5F-7F-F9-60
SB1630,1101111101011110111000000000000000000000000,676573400000000,6F-57-5C-00-00-00
SB1631,1101111000011110111101111110001111111100000,674173677077600,6F-07-5E-7E-3F-60
SB1632,1100011101111110111101111111111111110100000,616773677777200,63-5F-5E-7F-FF-20
SB1633,1101111101111110111101111111111000110100000,676773677743200,6F-5F-5E-7F-E3-20
SB1634,1101111101000010111101111111111111110100000,676413677777200,6F-50-5E-7F-FF-20
SB1635,1101111101001110110111111111111011111100000,676473377757600,6F-53-5B-7F-EF-60
SB1636,1101111101111100111101111111111111011100000,676763677775600,6F-5F-1E-7F-FD-60
